Slur,Reading,Image
urn:cite:hmt:venAslur.14-1,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.135@ἀλοοσσκοπιὴν,"urn:cite:hmt:vaimg.VA183RN-0354@0.232,0.3471,0.132,0.0263"
urn:cite:hmt:venAslur.14-2,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.148@ἐννεάχιλοι,"urn:cite:hmt:vaimg.VA183RN-0354@0.251,0.6146,0.113,0.024"
urn:cite:hmt:venAslur.14-3,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.148@δεκάχιλοι,"urn:cite:hmt:vaimg.VA183RN-0354@0.457,0.6131,0.1,0.0285"
urn:cite:hmt:venAslur.14-4,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.180@ἐνἑτῇσι,"urn:cite:hmt:vaimg.VA184RN-0355@0.298,0.2547,0.074,0.0218"
urn:cite:hmt:venAslur.14-5,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.272@πουλυβότειραν,"urn:cite:hmt:vaimg.VA185VN-0687@0.822,0.5755,0.13,0.0248"
urn:cite:hmt:venAslur.14-6,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.276@Πασιθέην,"urn:cite:hmt:vaimg.VA185VN-0687@0.495,0.6446,0.129,0.0308"
urn:cite:hmt:venAslur.14-7,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.307@πρυμνωρείῃ,"urn:cite:hmt:vaimg.VA186VN-0688@0.603,0.2893,0.127,0.0203"
urn:cite:hmt:venAslur.14-8,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.311@βαθυρρόου,"urn:cite:hmt:vaimg.VA186VN-0688@0.68,0.3644,0.099,0.027"
urn:cite:hmt:venAslur.14-9,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.312@νεφεληγερέτα,"urn:cite:hmt:vaimg.VA186VN-0688@0.798,0.3847,0.112,0.027"
urn:cite:hmt:venAslur.14-10,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.316@περιπροχυθεὶς,"urn:cite:hmt:vaimg.VA186VN-0688@0.682,0.4598,0.137,0.027"
urn:cite:hmt:venAslur.14-11,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.341@νεφεληγερέτα,"urn:cite:hmt:vaimg.VA187RN-0358@0.47,0.4485,0.112,0.0301"
urn:cite:hmt:venAslur.14-12,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.372@παναίθῃσιν,"urn:cite:hmt:vaimg.VA187VN-0689@0.683,0.5778,0.118,0.0301"
urn:cite:hmt:venAslur.14-13,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.376@μενέχαρμος,"urn:cite:hmt:vaimg.VA187VN-0689@0.586,0.6566,0.128,0.024"
urn:cite:hmt:venAslur.14-14,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:14.385@τανύηκες,"urn:cite:hmt:vaimg.VA188RN-0359@0.268,0.3276,0.087,0.0203"
